"word";"freq"
"merg";"merg";9
"unmov";"unmov";9
"disapp";"disapp";9
"accompani";"accompani";9
"outlin";"outlin";9
"airforc";"airforc";9
"bounc";"bounc";9
"curv";"curv";9
"plain";"plain";9
"firey";"firey";9
"mount";"mount";9
"ray";"ray";9
"paus";"paus";9
"brief";"brief";9
"previous";"previous";9
"lay";"lay";9
"girl";"girl";9
"fashion";"fashion";9
"basketbal";"basketbal";9
"pursu";"pursu";9
"effect";"effect";9
"usaf";"usaf";9
"pitch";"pitch";9
"pic";"pic";9
"world";"world";9
"either";"either";9
"final";"final";9
"alon";"alon";9
"feel";"feel";9
"static";"static";9
"sinc";"sinc";9
"deer";"deer";9
"major";"major";9
"palm";"palm";9
"morph";"morph";9
"outag";"outag";9
"dimmer";"dimmer";9
"kentucki";"kentucki";9
"auburn";"auburn";9
"undersid";"undersid";9
"sparkl";"sparkl";9
"thursday";"thursday";9
"bob";"bob";9
"nnw";"nnw";9
"temp";"temp";9
"hollywood";"hollywood";9
"bar";"bar";9
"beneath";"beneath";9
"goe";"goe";9
"held";"held";8
"atlanta";"atlanta";8
"guess";"guess";8
"roll";"roll";8
"ligh";"ligh";8
"scotland";"scotland";8
"aurora";"aurora";8
"passeng";"passeng";8
"usa";"usa";8
"organ";"organ";8
"drove";"drove";8
"vicin";"vicin";8
"wonder";"wonder";8
"someon";"someon";8
"church";"church";8
"increas";"increas";8
"scari";"scari";8
"blind";"blind";8
"pretti";"pretti";8
"fleet";"fleet";8
"golf";"golf";8
"busi";"busi";8
"confirm";"confirm";8
"highaltitud";"highaltitud";8
"jump";"jump";8
"dawn";"dawn";8
"pittsburgh";"pittsburgh";8
"tear";"tear";8
"pleas";"pleas";8
"edt";"edt";8
"dead";"dead";8
"project";"project";8
"rockford";"rockford";8
"debri";"debri";8
"colleg";"colleg";8
"silenc";"silenc";8
"trajectori";"trajectori";8
"rear";"rear";8
"nevada";"nevada";8
"discshap";"discshap";8
"unit";"unit";8
"nite";"nite";8
"nyc";"nyc";8
"ive";"ive";8
"upsid";"upsid";8
"februari";"februari";8
"case";"case";8
"montana";"montana";8
"kansa";"kansa";8
"caus";"caus";8
"till";"till";8
"twenti";"twenti";8
"wave";"wave";8
"recent";"recent";8
"cool";"cool";8
"member";"member";8
"somewhat";"somewhat";8
"arch";"arch";8
"inch";"inch";8
"erat";"erat";8
"eastward";"eastward";8
"delta";"delta";8
"alaska";"alaska";8
"dinner";"dinner";8
"overcast";"overcast";8
"record";"record";8
"dramat";"dramat";8
"dimond";"dimond";8
"midair";"midair";8
"nake";"nake";8
"forget";"forget";8
"put";"put";8
"lowfli";"lowfli";8
"mesa";"mesa";8
"submit";"submit";8
"unlik";"unlik";8
"alabama";"alabama";8
"section";"section";8
"steadili";"steadili";8
"bell";"bell";8
"repeat";"repeat";8
"constel";"constel";8
"realiz";"realiz";8
"vari";"vari";8
"tinley";"tinley";8
"consist";"consist";8
"doubl";"doubl";8
"pacif";"pacif";8
"hand";"hand";8
"driveway";"driveway";8
"lunar";"lunar";8
"dime";"dime";8
"ski";"ski";8
"comput";"comput";8
"present";"present";8
"floor";"floor";8
"intellig";"intellig";8
"lead";"lead";8
"diskshap";"diskshap";8
"austin";"austin";8
"oak";"oak";8
"shower";"shower";8
"charlott";"charlott";7
"oakland";"oakland";7
"revolv";"revolv";7
"help";"help";7
"serious";"serious";7
"tuesday";"tuesday";7
"driver";"driver";7
"iridium";"iridium";7
"bunch";"bunch";7
"imag";"imag";7
"meet";"meet";7
"imposs";"imposs";7
"gain";"gain";7
"jacksonvill";"jacksonvill";7
"independ";"independ";7
"bit";"bit";7
"upon";"upon";7
"typic";"typic";7
"scare";"scare";7
"bullet";"bullet";7
"ultra";"ultra";7
"receiv";"receiv";7
"maryland";"maryland";7
"enough";"enough";7
"mass";"mass";7
"vacat";"vacat";7
"scan";"scan";7
"fresno";"fresno";7
"pinpoint";"pinpoint";7
"elev";"elev";7
"blaze";"blaze";7
"eject";"eject";7
"longer";"longer";7
"hunt";"hunt";7
"emerg";"emerg";7
"travers";"travers";7
"stope";"stope";7
"wink";"wink";7
"read";"read";7
"nuclear";"nuclear";7
"need";"need";7
"decemb";"decemb";7
"miami";"miami";7
"email";"email";7
"usual";"usual";7
"albuquerqu";"albuquerqu";7
"meteorit";"meteorit";7
"swoop";"swoop";7
"lose";"lose";7
"stare";"stare";7
"interest";"interest";7
"lantern";"lantern";7
"etc";"etc";7
"guard";"guard";7
"massachusett";"massachusett";7
"opaqu";"opaqu";7
"word";"word";7
"vision";"vision";7
"northbound";"northbound";7
"extend";"extend";7
"linear";"linear";7
"detroit";"detroit";7
"perform";"perform";7
"weather";"weather";7
"file";"file";7
"box";"box";7
"hello";"hello";7
"trianglular";"trianglular";7
"grow";"grow";7
"forest";"forest";7
"delet";"delet";7
"japan";"japan";7
"union";"union";7
"eggshap";"eggshap";7
"alot";"alot";7
"enorm";"enorm";7
"lightquot";"lightquot";7
"brooklyn";"brooklyn";7
"trash";"trash";7
"wsw";"wsw";7
"wait";"wait";7
"patrol";"patrol";7
"videotap";"videotap";7
"hampshir";"hampshir";7
"drone";"drone";7
"race";"race";7
"shock";"shock";7
